synset,adverb,sentence,definition,type
00166484-r,in due course,we'll get to this question in due course,at the appropriate time,
00166484-r,in due season,we'll get to this question in due course,at the appropriate time,
00166484-r,in good time,we'll get to this question in due course,at the appropriate time,
00166484-r,in due time,we'll get to this question in due course,at the appropriate time,
00166484-r,when the time comes,we'll get to this question in due course,at the appropriate time,
00166660-r,in full swing,the party was in full swing,proceeding with full vigor,
00166660-r,in full action,the party was in full swing,proceeding with full vigor,
00166776-r,in kind,she pays him back in kind,with something of the same kind,
00166776-r,in a similar way,she pays him back in kind,with something of the same kind,
00166891-r,in line,they waited in line for the tickets,one behind another in a line or queue,
00167003-r,in name,he's a doctor in name only,by title or repute though not in fact,
00167003-r,in name only,he's a doctor in name only,by title or repute though not in fact,
00167121-r,in no time,she finished the assignment in no time,in a relatively short time,
00167121-r,very fast,she finished the assignment in no time,in a relatively short time,
00167533-r,long,,for an extended distance,
00167590-r,in passing,he made this remark in passing,incidentally; in the course of doing something else,
00167590-r,en passant,he made this remark in passing,incidentally; in the course of doing something else,
00167994-r,inside out,she turned the shirt inside out,with the inside facing outward,
00168098-r,inside out,she knows this town inside out,thoroughly; from every perspective,
00168205-r,in the air,Christmas was in the air,on everybody's mind,
00168205-r,in everyone's thoughts,Christmas was in the air,on everybody's mind,
00168316-r,in the first place,why didn't you tell me in the first place?,before now,
00168316-r,earlier,why didn't you tell me in the first place?,before now,
00168316-r,in the beginning,why didn't you tell me in the first place?,before now,
00168316-r,to begin with,why didn't you tell me in the first place?,before now,
00168316-r,originally,why didn't you tell me in the first place?,before now,
00168477-r,in the end,she will succeed in the end,eventually or after a lengthy period of time,
00168591-r,in the nick of time,she was saved in the nick of time,at the last possible moment,
00168591-r,just in time,she was saved in the nick of time,at the last possible moment,
00168718-r,in the same breath,she praised and criticized him in the same breath,almost simultaneously,
00168839-r,in time,we made it to the party in time,without being tardy,
00168839-r,soon enough,we made it to the party in time,without being tardy,
00169253-r,just so,you must treat this plant just so,in a careful manner,
00169345-r,lickety split,she tackled the job lickety-split,at full speed,
00169345-r,lickety cut,she tackled the job lickety-split,at full speed,
00169451-r,like clockwork,the rocket launch went off like clockwork,with regularity and precision,
00169587-r,like hell,drove like crazy,(informal) with great speed or effort or intensity; used for emphasis,
00169587-r,like mad,drove like crazy,(informal) with great speed or effort or intensity; used for emphasis,
00169587-r,like crazy,drove like crazy,(informal) with great speed or effort or intensity; used for emphasis,
00169587-r,like sin,drove like crazy,(informal) with great speed or effort or intensity; used for emphasis,
00169587-r,like thunder,drove like crazy,(informal) with great speed or effort or intensity; used for emphasis,
00169587-r,like the devil,drove like crazy,(informal) with great speed or effort or intensity; used for emphasis,
00169954-r,like hell,says he'll help me? Like hell he will!,used ironically to indicate the opposite of what is stated,
00169954-r,like fun,says he'll help me? Like hell he will!,used ironically to indicate the opposite of what is stated,
00170122-r,in fun,"some of the girls did go to extremes, but it was all in fun",not intended seriously; meant as a joke,
00170122-r,for fun,"some of the girls did go to extremes, but it was all in fun",not intended seriously; meant as a joke,
00170319-r,no end,the child cried no end,on and on for a long time,
00170405-r,off and on,they phone each other off and on,not regularly,
00170405-r,on and off,they phone each other off and on,not regularly,
00170506-r,off the cuff,the presidential candidate made a remark off the cuff,without preparation,
00170754-r,off the record,he spoke to the reporter off the record,not for quotation,
00170857-r,on all fours,he got down on all fours to play with his grandson,on hands and knees,
00170970-r,on the average,on average he watches three movies a week,typically,
00170970-r,on average,on average he watches three movies a week,typically,
00171080-r,on approval,they took the VCR on approval,for examination (with an option to buy),
00171192-r,on faith,we accepted him on faith,with trust and confidence,
00171282-r,hypothetically,,by hypothesis,
00171356-r,theoretically,on paper the candidate seems promising,in theory; according to the assumed facts,
00171356-r,on paper,on paper the candidate seems promising,in theory; according to the assumed facts,
00171643-r,oppositely,,in an opposite position,
00171723-r,contrarily,"he didn't stay home; on the contrary, he went out with his friends",contrary to expectations,
00171723-r,to the contrary,"he didn't stay home; on the contrary, he went out with his friends",contrary to expectations,
00171723-r,contrariwise,"he didn't stay home; on the contrary, he went out with his friends",contrary to expectations,
00171723-r,on the contrary,"he didn't stay home; on the contrary, he went out with his friends",contrary to expectations,
00171925-r,on the fly,she wrote those letters on the fly,on the run or in a hurry,
00171925-r,hurridly,she wrote those letters on the fly,on the run or in a hurry,
00172037-r,on the fly,he caught the punt on the fly,while in motion,
00172124-r,on the spot,we hired her on the spot,without delay or immediately,
00172276-r,on the spot,they were on the spot when it happened,at the place in question; there,
00172436-r,on the spot,that question really put him on the spot,in a difficult situation,
00172731-r,on the way,help is on the way,on a route to some place,
00172731-r,en route,help is on the way,on a route to some place,
00172866-r,on time,she always arrives on time,at the expected or proper time,
00172866-r,punctually,she always arrives on time,at the expected or proper time,
00172975-r,out of thin air,your cousin arrived out of thin air,without warning,
00172975-r,out of nothing,your cousin arrived out of thin air,without warning,
00172975-r,from nowhere,your cousin arrived out of thin air,without warning,
00173105-r,out of wedlock,he was born out of wedlock,of unwed parents,
00173105-r,outside marriage,he was born out of wedlock,of unwed parents,
00173213-r,to advantage,the dress brought out her figure to advantage,in a manner that uses the most flattering or best aspects of,
00173363-r,to a man,voted for unionization to a man,without exception,
00173452-r,to a T,the new house suited them to a T,in every detail,
00173452-r,to the letter,the new house suited them to a T,in every detail,
00173452-r,just right,the new house suited them to a T,in every detail,
00173452-r,to perfection,the new house suited them to a T,in every detail,
00173583-r,up to now,no suspect has been found to date,prior to the present time,
00173583-r,to date,no suspect has been found to date,prior to the present time,
00173693-r,to order,he had the shoes made to order,to specification,
00173780-r,tooth and nail,she fought tooth and nail,with force and ferocity,
00173875-r,to that effect,she said something to that effect,with that general meaning,
00173980-r,to the hilt,you are in this to the hilt,in full,
00173980-r,to the limit,you are in this to the hilt,in full,
00174073-r,under the circumstances,under the circumstances I cannot buy the house,because of prevailing conditions,
00174207-r,orad,,toward the mouth or oral region,
00174307-r,aborad,,away from the mouth or oral region,
00176473-r,wildly,"attacked wildly, slashing and stabbing over and over",with violent and uncontrollable passion,
00178467-r,over and over,the unknown word turned up over and over again in the text,repeatedly,
00178467-r,again and again,the unknown word turned up over and over again in the text,repeatedly,
00178467-r,over and over again,the unknown word turned up over and over again in the text,repeatedly,
00178467-r,time and again,the unknown word turned up over and over again in the text,repeatedly,
00178467-r,time and time again,the unknown word turned up over and over again in the text,repeatedly,
00178467-r,repeatedly,the unknown word turned up over and over again in the text,repeatedly,
00179172-r,vice versa,she hates him and vice versa,with the order reversed,
00179172-r,the other way around,she hates him and vice versa,with the order reversed,
00179172-r,contrariwise,she hates him and vice versa,with the order reversed,
00179304-r,day by day,his health weakened day by day,gradually and progressively,
00179304-r,daily,his health weakened day by day,gradually and progressively,
00179412-r,day in day out,,for an indefinite number of successive days,
00179412-r,day after day,,for an indefinite number of successive days,
00179514-r,week after week,,for an indefinite number of successive weeks,
00179602-r,week by week,"week by week, the betrayal gnawed at his heart",weekly,
00179699-r,month by month,"month by month, the betrayal gnawed at his heart",for an indefinite number of months,
00180819-r,in other words,"in other words, we are broke",otherwise stated,
00180819-r,put differently,"in other words, we are broke",otherwise stated,
00181906-r,successively,talked to each child in turn,in proper order or sequence,
00181906-r,in turn,talked to each child in turn,in proper order or sequence,
00182242-r,apart,"these problems apart, the country is doing well",not taken into account or excluded from consideration,
00182242-r,aside,"these problems apart, the country is doing well",not taken into account or excluded from consideration,
00182904-r,as needed,add water as needed,according to need (physicians use PRN in writing prescriptions),
00182904-r,as required,add water as needed,according to need (physicians use PRN in writing prescriptions),
00182904-r,pro re nata,add water as needed,according to need (physicians use PRN in writing prescriptions),
00182904-r,PRN,add water as needed,according to need (physicians use PRN in writing prescriptions),
00183162-r,overseas,,in a place across an ocean,
00183162-r,abroad,,in a place across an ocean,
00183580-r,in vivo,studies conducted in vivo,in the living organism,
00184393-r,inconsiderately,"inconsiderately, he asked to be invited for dinner",without consideration; in an inconsiderate manner,
00185770-r,true,"true, she is the smartest in her class",as acknowledged,
00185770-r,admittedly,"true, she is the smartest in her class",as acknowledged,
00185770-r,avowedly,"true, she is the smartest in her class",as acknowledged,
00185770-r,confessedly,"true, she is the smartest in her class",as acknowledged,
00189276-r,uptown,,toward or in the upper part of town,
00189364-r,downtown,,toward or in the lower or central part of town,
00189465-r,best of all,"best of all, we don't have any homework!",especially fortunate,
00190022-r,namely,,as follows,
00190022-r,viz.,,as follows,
00190022-r,that is to say,,as follows,
00190022-r,to wit,,as follows,
00190022-r,videlicet,,as follows,
00190112-r,much as,,in a similar way,
00190112-r,very much like,,in a similar way,
00191026-r,hyperbolically,,in an exaggerated manner,
00191026-r,exaggeratedly,,in an exaggerated manner,
00191723-r,God knows how,"God knows how he did it, but he did climbed that steep wall",by some means not understood by the speaker,
00192665-r,et al.,,and elsewhere (used when referring to other occurrences in a text),
00192665-r,et al,,and elsewhere (used when referring to other occurrences in a text),
00192665-r,et alibi,,and elsewhere (used when referring to other occurrences in a text),
00192785-r,et al.,the data reported by Smith et al.,and others (‘et al.’ is used as an abbreviation of ‘et alii’ (masculine plural) or ‘et aliae’ (feminine plural) or ‘et alia’ (neuter plural) when referring to a number of people),
00192785-r,et al,the data reported by Smith et al.,and others (‘et al.’ is used as an abbreviation of ‘et alii’ (masculine plural) or ‘et aliae’ (feminine plural) or ‘et alia’ (neuter plural) when referring to a number of people),
00192785-r,et alii,the data reported by Smith et al.,and others (‘et al.’ is used as an abbreviation of ‘et alii’ (masculine plural) or ‘et aliae’ (feminine plural) or ‘et alia’ (neuter plural) when referring to a number of people),
00192785-r,et aliae,the data reported by Smith et al.,and others (‘et al.’ is used as an abbreviation of ‘et alii’ (masculine plural) or ‘et aliae’ (feminine plural) or ‘et alia’ (neuter plural) when referring to a number of people),
00192785-r,et alia,the data reported by Smith et al.,and others (‘et al.’ is used as an abbreviation of ‘et alii’ (masculine plural) or ‘et aliae’ (feminine plural) or ‘et alia’ (neuter plural) when referring to a number of people),
00193074-r,cf.,,compare,
00193074-r,cf,,compare,
00193186-r,i.e.,,"a figure of speech used as a way to provide further information, or to be more specific or exact about something",
00193186-r,ie,,"a figure of speech used as a way to provide further information, or to be more specific or exact about something",
00193186-r,id est,,"a figure of speech used as a way to provide further information, or to be more specific or exact about something",
00194810-r,thievishly,,in a manner characteristic of a thief,
00196544-r,bewilderedly,,in a bewildered manner,
00196820-r,ideally,"ideally, this will remove all problems",in an ideal manner,
00197608-r,properly,please do your job properly!,in the right manner; correctly; suitably,
00197608-r,decently,please do your job properly!,in the right manner; correctly; suitably,
00197608-r,decent,please do your job properly!,in the right manner; correctly; suitably,
00197608-r,right,please do your job properly!,in the right manner; correctly; suitably,
00198687-r,in detail,he studied the snake in detail,thoroughly (including all important particulars),
00199241-r,concretely,"concretely, this meant that he was broke",in concrete terms,
00199377-r,abstractly,,in abstract terms,
00200566-r,wrongheadedly,,in a wrongheaded manner,
00201116-r,fearlessly,"fearlessly, he led the troops into combat",without fear,
00201116-r,dauntlessly,"fearlessly, he led the troops into combat",without fear,
00201116-r,intrepidly,"fearlessly, he led the troops into combat",without fear,
00203322-r,fatuously,,vacuously or complacently and unconsciously foolish,
00203322-r,inanely,,vacuously or complacently and unconsciously foolish,
00206334-r,wrongly,"{'source': 'Shakespeare', 'text': 'wouldst not play false and yet would wrongly win'}",without justice or fairness,
00208808-r,ornamentally,,"in an ornamental, nonfunctional manner",
00214599-r,amazingly,"amazingly, he finished medical school in three years",in an amazing manner; to everyone's surprise,
00214599-r,surprisingly,"amazingly, he finished medical school in three years",in an amazing manner; to everyone's surprise,
00214599-r,astonishingly,"amazingly, he finished medical school in three years",in an amazing manner; to everyone's surprise,
00215382-r,unproductively,,in an unproductive manner,
00215382-r,fruitlessly,,in an unproductive manner,
00215382-r,unprofitably,,in an unproductive manner,
00216059-r,interestingly,"{'source': 'Time', 'text': 'when he ceases to be just interestingly neurotic and … gets locked up'}",in an interesting manner,
00216240-r,uninterestingly,,in an uninteresting manner,
00218072-r,testily,he said testily: ‘Go away!’,in a petulant manner,
00218072-r,irritably,he said testily: ‘Go away!’,in a petulant manner,
00218072-r,petulantly,he said testily: ‘Go away!’,in a petulant manner,
00218072-r,pettishly,he said testily: ‘Go away!’,in a petulant manner,
00219959-r,politely,"the policeman answered politely, ‘Now look here, lady … ’",in a polite manner,
00219959-r,courteously,"the policeman answered politely, ‘Now look here, lady … ’",in a polite manner,
00221121-r,upside down,the box was lying on the floor upside down,in an inverted manner,
00224618-r,in one's own right,a peer in his own right,by title vested in yourself or by virtue of qualifications that you have achieved,
00224618-r,in his own right,a peer in his own right,by title vested in yourself or by virtue of qualifications that you have achieved,
00224618-r,in her own right,a peer in his own right,by title vested in yourself or by virtue of qualifications that you have achieved,
00224618-r,in its own right,a peer in his own right,by title vested in yourself or by virtue of qualifications that you have achieved,
00225012-r,faithfully,"it always came on, faithfully, like the radio",in a faithful manner,
00225012-r,dependably,"it always came on, faithfully, like the radio",in a faithful manner,
00225012-r,reliably,"it always came on, faithfully, like the radio",in a faithful manner,
00225252-r,unfaithfully,,in an unfaithful undependable unreliable manner,
00225252-r,undependably,,in an unfaithful undependable unreliable manner,
00225252-r,unreliably,,in an unfaithful undependable unreliable manner,
00225596-r,nonviolently,"the government was overthrown nonviolently, but the dictator was killed",without violence,
00226219-r,up and down,he eyed him up and down,alternately upward and downward,
00227874-r,unwarily,,without heed or caution,
00229584-r,perpetually,"{'source': 'Stuart Chase', 'text': 'rays … streaming perpetually from the sun'}",everlastingly; for all time,
00230832-r,abed,,in bed,
00231477-r,unquietly,,with agitation or turbulence,
00231579-r,unqualifiedly,,without qualification or limitation,
00231674-r,outwardly,"outwardly, she appeared composed",in outward appearance,
00231805-r,inwardly,"inwardly, she was raging",with respect to private feelings,
00231805-r,inside,"inwardly, she was raging",with respect to private feelings,
00231947-r,outwardly,"outwardly, the figure is smooth",with respect to the outside,
00231947-r,externally,"outwardly, the figure is smooth",with respect to the outside,
00233351-r,obligingly,"obligingly, he lowered his voice",in accommodation,
00233351-r,accommodatingly,"obligingly, he lowered his voice",in accommodation,
00235303-r,out of,idleness is the trait of being idle out of a reluctance to work,motivated by,
00237300-r,away,fire away!,freely or at will,
00237364-r,seriatim,,in a series; point by point,
00238273-r,in stride,she took all his criticism in stride,without losing equilibrium,
00238273-r,in good spirits,she took all his criticism in stride,without losing equilibrium,
00238490-r,charmingly,,in a charming manner,
00239791-r,scienter,,(law) deliberately or knowingly,
00240685-r,under way,the ship got under way,in motion; set in motion,
00240942-r,modestly,"the dissertation was entitled, modestly, ‘Remarks about a play by Shakespeare’",with modesty; in a modest manner,
00241129-r,immodestly,"the book was entitled, immodestly, ‘All about Wisdom’",without modesty; in an immodest manner,
00241809-r,next door,the criminal had been living next door all this time,at or in or to the adjacent residence,
00241809-r,in the adjacent house,the criminal had been living next door all this time,at or in or to the adjacent residence,
00241809-r,in the adjacent apartment,the criminal had been living next door all this time,at or in or to the adjacent residence,
00242324-r,anarchically,,in a lawless rebellious manner,
00243216-r,irresolutely,,lacking determination or decisiveness,
00244694-r,commensally,,in a commensal manner,
00245268-r,structurally,"structurally, the organization is healthy",with respect to structure,
00245660-r,unofficially,he had made some money on the side,without official approval,
00245660-r,on the side,he had made some money on the side,without official approval,
00245908-r,overnight,these solutions cannot be found overnight!,happening in a short time or with great speed,
00246037-r,willy-nilly,,without having a choice,
00246625-r,hand in hand,hand in hand with hope went fear,together,
00248151-r,on paper,this is exactly what the composer had set down on paper,as written or printed,
00248151-r,in writing,this is exactly what the composer had set down on paper,as written or printed,
00249448-r,perversely,,in a contrary disobedient manner,
00249448-r,contrarily,,in a contrary disobedient manner,
00249448-r,contrariwise,,in a contrary disobedient manner,
00251028-r,at arm's length,keep someone at arm's length,at some distance,
00251347-r,aboard,,"on a ship, train, plane or other vehicle",
00251347-r,on board,,"on a ship, train, plane or other vehicle",
00251727-r,all too,she is all too ready to accept the job,to a high degree,
00251727-r,only too,she is all too ready to accept the job,to a high degree,
00251953-r,abreast,,"alongside each other, facing in the same direction",
00252039-r,per annum,"he earned $100,000 per annum",by the year; every year (usually with reference to a sum of money paid or received),
00252039-r,p.a.,"he earned $100,000 per annum",by the year; every year (usually with reference to a sum of money paid or received),
00252039-r,per year,"he earned $100,000 per annum",by the year; every year (usually with reference to a sum of money paid or received),
00252039-r,each year,"he earned $100,000 per annum",by the year; every year (usually with reference to a sum of money paid or received),
00252039-r,annually,"he earned $100,000 per annum",by the year; every year (usually with reference to a sum of money paid or received),
00252267-r,per diem,we'll save 100 man-hours per diem,one every day,
00252267-r,by the day,we'll save 100 man-hours per diem,one every day,
00252456-r,ad hoc,they were appointed ad hoc,for one specific case,
00252542-r,ad nauseam,he played the song ad nauseam,to a sickening extent,
00252635-r,ad val,the goods were taxed ad valorem,in proportion to the estimated value of the goods taxed,
00252635-r,ad valorem,the goods were taxed ad valorem,in proportion to the estimated value of the goods taxed,
00252994-r,a posteriori,,derived from observed facts,
00253080-r,a priori,,"derived by logic, without observed facts",
00253591-r,jurisprudentially,,in respect to jurisprudence or the science or philosophy of law,
00253817-r,en clair,,in ordinary language,
00253874-r,en famille,we'll have dinner en famille,in a casual way at home,
00253968-r,ex officio,the president sat on the committee ex officio,by virtue of position,
00253968-r,by right of office,the president sat on the committee ex officio,by virtue of position,
00254352-r,bilaterally,,so as to involve two sides or parts,
00255193-r,cloyingly,,in an overly sweet manner,
00255756-r,counterintuitively,,in a counterintuitive manner,
00257022-r,ceteris paribus,,all other things being equal,
00257456-r,ibid.,,in the same place (used when citing a reference),
00257456-r,ib.,,in the same place (used when citing a reference),
00257456-r,ibidem,,in the same place (used when citing a reference),
00257553-r,in loco parentis,we had to punish this child in loco parentis,in place of the parents,
00257669-r,in situ,carcinoma in situ,in the original or natural place or site,
00257669-r,in place,carcinoma in situ,in the original or natural place or site,
00257824-r,in situ,,in position,
00257871-r,inter alia,"the committee recommended, inter alia, that he be promoted",among other things,
00257990-r,ipso facto,"ipso facto, her innocence was established",by the fact itself,
00258092-r,item,"{'source': 'Philip Guedalla', 'text': 'a length of chain, item a hook'}",(used when listing or enumerating items) also,
00258220-r,give or take,"it is a mile away, give or take a few hundred yards",plus or minus a small amount,
00258344-r,mutatis mutandis,,with the necessary changes having been carried out,
00258439-r,par excellence,he is the honest politician par excellence,to a degree of excellence,
00258553-r,pari passu,,used in legal language,
00258553-r,at an equal rate,,used in legal language,
00258633-r,passim,,used to refer to cited works,
00258633-r,throughout,,used to refer to cited works,
00258709-r,pro tem,"{'source': 'J.W.Krutch', 'text': 'accepting pro tem that hypothesis consistent with the facts'}",for the time being; temporarily,
00258709-r,pro tempore,"{'source': 'J.W.Krutch', 'text': 'accepting pro tem that hypothesis consistent with the facts'}",for the time being; temporarily,
00258865-r,sine die,,without a date fixed (as of an adjournment),
00258945-r,sotto voce,he uttered a curse sotto voce,in an undertone,
00259032-r,sub rosa,held a meeting sub rosa to avoid general criticism,in secret or covertly,
00259491-r,a la carte,we ate a la carte,by ordering items listed individually on a menu,
00259598-r,by word of mouth,I heard it viva voce,orally,
00259598-r,viva voce,I heard it viva voce,orally,
00259981-r,inward,move the needle further inwards!,toward the center or interior,
00259981-r,inwards,move the needle further inwards!,toward the center or interior,
00260109-r,outward,move the needle further outward!,toward the outside,
00260109-r,outwards,move the needle further outward!,toward the outside,
00260674-r,in extremis,,at the point of death,
00260735-r,midmost,in the midst of the forest,the middle or central part or point,
00260735-r,in the midst,in the midst of the forest,the middle or central part or point,
00261520-r,perforce,,by necessity; by force of circumstance,
00261706-r,prima facie,,at first sight,
00261963-r,proportionately,,"in a way that agrees in amount, magnitude or degree",
00261963-r,pro rata,,"in a way that agrees in amount, magnitude or degree",
00262266-r,scot free,he went scot-free,free from harm or penalty,
00262266-r,scot-free,he went scot-free,free from harm or penalty,
00262350-r,skyward,look skywards!,toward the sky,
00262350-r,skywards,look skywards!,toward the sky,
00262429-r,up here,you shouldn't be up here,in a specified area or place,
00262429-r,over here,you shouldn't be up here,in a specified area or place,
00264204-r,at a loss,sold the car at a loss,below cost,
00264611-r,afield,"{'source': 'R.A.Hall', 'text': 'looking afield for new lands to conquer'}",far away from home or one's usual surroundings,
00264611-r,abroad,"{'source': 'R.A.Hall', 'text': 'looking afield for new lands to conquer'}",far away from home or one's usual surroundings,
00265906-r,abortively,,in an unfruitful manner,
00267010-r,anteriorly,,in an anterior direction,
00267823-r,ashamedly,,with a feeling of shame,
00268077-r,unassertively,"unassertively, she always follows her husband's suggestions",in an unassertive manner,
00270919-r,bloodily,,involving a great bloodshed,
00271723-r,alertly,"she got through the day alertly, despite being on drugs",in mentally perceptive and responsive way,
00272901-r,ungratefully,,in an ungrateful manner,
00272901-r,unappreciatively,,in an ungrateful manner,
00273866-r,perseveringly,,with perseverance,
00273943-r,persistently,,with persistence,
00274669-r,amidship,,at or near or toward the middle,
00274935-r,amok,"when the restaurant caught fire the patrons ran amuck, blocking the exit",wildly; without self-control,
00274935-r,amuck,"when the restaurant caught fire the patrons ran amuck, blocking the exit",wildly; without self-control,
00275080-r,antithetically,,with antithesis; in an antithetical manner,
00275591-r,archly,,in an arch manner; with playful slyness or roguishness,
00276392-r,aslant,,over or across in a slanting direction,
00276557-r,asleep,,in the sleep of death,
00277506-r,astride,,with the legs stretched far apart,
00277575-r,athwart,,at right angles to the center line of a ship,
00277655-r,atop,,"on, to, or at the top",
00277821-r,avariciously,,in a greedy manner,
00277821-r,covetously,,in a greedy manner,
00277821-r,greedily,,in a greedy manner,
00278639-r,baldly,"this book is, to put it baldly, an uneven work.",in a bald manner,
00279618-r,bawdily,,in a bawdy manner,
00281297-r,bountifully,,in a bountiful manner,
00281297-r,bounteously,,in a bountiful manner,
00281297-r,plentifully,,in a bountiful manner,
00281297-r,plenteously,,in a bountiful manner,
00282316-r,on air,we were floating on air at the news,very happily,
00283793-r,charily,,with great caution; warily,
00285441-r,chattily,"‘when I was a girl,’ she said chattily, ‘I used to ride a bicycle’",in a chatty manner,
00285441-r,volubly,"‘when I was a girl,’ she said chattily, ‘I used to ride a bicycle’",in a chatty manner,
00285748-r,cheekily,"brashly, she asked for a rebate",in a brash cheeky manner,
00285748-r,nervily,"brashly, she asked for a rebate",in a brash cheeky manner,
00285748-r,brashly,"brashly, she asked for a rebate",in a brash cheeky manner,
00286242-r,circularly,,in a circular manner,
00286319-r,clannishly,"these four friends always act clannishly, and don't let us participate in their activities",in a clannish manner,
00286319-r,cliquishly,"these four friends always act clannishly, and don't let us participate in their activities",in a clannish manner,
00289064-r,compatibly,,with compatibility,
00289157-r,incompatibly,,without compatibility,
00289765-r,comprehensively,,in an all-inclusive manner,
00289871-r,noncomprehensively,,in a limited way,
00290270-r,computationally,"computationally, this is a tricky problem",with regard to computation,
00290403-r,brotherly,,(archaic as adverb) in a manner characteristic of a brother,
00290519-r,pro,,"in favor of a proposition, opinion, etc.",
00290736-r,conceitedly,he always acts so conceitedly!,with conceit; in a conceited manner,
00290736-r,self-conceitedly,he always acts so conceitedly!,with conceit; in a conceited manner,
00291450-r,in a nutshell,gave the facts in a nutshell,summed up briefly,
00292076-r,cytophotometrically,,by cytophotometric means,
00292166-r,cytoplasmically,,by means of cytoplasm,
00292590-r,cum laude,he graduated cum laude,with distinction,
00292682-r,magna cum laude,he graduated magna cum laude,with high honor,
00292791-r,summa cum laude,he graduated summa cum laude,with highest honor,
00293663-r,consecutive,we numbered the papers consecutively,in a sequential manner,
00293663-r,sequentially,we numbered the papers consecutively,in a sequential manner,
00294485-r,crisscross,,crossing one another in opposite directions,
00294643-r,counteractively,,in a counteractive manner,
00296016-r,consequentially,,having the result that,
00296096-r,inconsequentially,"‘You're so beautifully dressed,’ she said and added quite inconsequentially, ‘Can you stay the night?’",lacking consequence,
00296096-r,inconsequently,"‘You're so beautifully dressed,’ she said and added quite inconsequentially, ‘Can you stay the night?’",lacking consequence,
00296490-r,contemporaneously,"contemporaneously, or possibly a little later, there developed a great Sumerian civilisation",during the same period of time,
00296680-r,contrastingly,"contrastingly, both the rooms leading off it gave an immediate impression of being disgraced",in a contrasting manner,
00297139-r,incredibly,"incredibly, she survived the crash",not easy to believe,
00297139-r,improbably,"incredibly, she survived the crash",not easy to believe,
00297139-r,implausibly,"incredibly, she survived the crash",not easy to believe,
00297139-r,unbelievably,"incredibly, she survived the crash",not easy to believe,
00298279-r,cryptographically,,in a cryptographic manner,
00298819-r,damned,"kindly Arthur — so damnably, politely, endlessly persistent!",in a damnable manner,
00298819-r,damnably,"kindly Arthur — so damnably, politely, endlessly persistent!",in a damnable manner,
00298819-r,cursedly,"kindly Arthur — so damnably, politely, endlessly persistent!",in a damnable manner,
00299814-r,indecisively,the battle ended indecisively: neither side had clearly won but neither side admitted defeat,without finality; inconclusively,
00300588-r,delightedly,"delightedly, she accepted the invitation",with delight,
00303026-r,undeservedly,"the team chalked up another victory, the last one quite undeservedly, in my opinion",in an unmerited manner,
00304163-r,uncontroversially,,not involving any controversy,
00305019-r,reprehensibly,,in a manner or to a degree deserving blame or censure,
00305019-r,culpably,,in a manner or to a degree deserving blame or censure,
00305811-r,daringly,"daringly, he set out on a camping trip in East Africa",in an adventurous manner,
00306284-r,deadly,,as if dead,
00306284-r,lifelessly,,as if dead,
00306539-r,indecorously,,without decorousness,
00306539-r,unbecomingly,,without decorousness,
00310160-r,desolately,,in grief-stricken loneliness; without comforting circumstances or prospects,
00310160-r,disconsolately,,in grief-stricken loneliness; without comforting circumstances or prospects,
00310504-r,diffidently,"‘Oh, well,’ he shrugged diffidently, ‘I like the work.’",in a diffident manner,
00311268-r,detrimentally,,in a detrimental manner,
00311268-r,harmfully,,in a detrimental manner,
00311268-r,noxiously,,in a detrimental manner,
00315374-r,disgustedly,"disgustedly, she averted her eyes when they brought in the mutilated body of the horse",with disgust,
00316228-r,honestly,"honestly, I don't believe it",(used as intensives reflecting the speaker's attitude) it is sincerely the case that,
00316228-r,candidly,"honestly, I don't believe it",(used as intensives reflecting the speaker's attitude) it is sincerely the case that,
00316228-r,frankly,"honestly, I don't believe it",(used as intensives reflecting the speaker's attitude) it is sincerely the case that,
00316988-r,disingenuously,"disingenuously, he asked leading questions about his opponent's work",in a disingenuous manner,
00316988-r,artfully,"disingenuously, he asked leading questions about his opponent's work",in a disingenuous manner,
00320223-r,disputatiously,,in a disputatious manner,
00320223-r,argumentatively,,in a disputatious manner,
00320472-r,disreputably,,in a disreputable manner,
00320573-r,reputably,,in a reputable manner,
00321028-r,distantly,"dimly, distantly, voices sounded in the stillness",from or at a distance,
00321630-r,distributively,"taken distributively, their rights are imperceptible",as individuals or as separate units (not collectively),
00322327-r,doctrinally,,as a matter of doctrine,
00322917-r,domestically,"domestically, the president proposes a more moderate economic policy",with respect to the internal affairs of a government,
00323386-r,double time,now let's play the piece again double-quick,at a faster speed,
00323386-r,double quick,now let's play the piece again double-quick,at a faster speed,
00323816-r,downhill,"running downhill, he gained a lot of speed",toward the bottom of a hill,
00325863-r,westerly,"{'source': 'Daniel Defoe', 'text': 'we began to steer away westerly'}",in a westward direction,
00328163-r,elementarily,,in an elementary manner,
00329149-r,inelegantly,,without elegance,
00332587-r,evenly,,in a level and regular way,
00332854-r,unevenly,,in an uneven and irregular way,
00335532-r,expediently,,in an expedient manner,
00335532-r,inadvisably,,in an expedient manner,
00335662-r,inexpediently,,in an inexpedient manner,
00337069-r,extravagantly,"the United States, up to the 1920s, used fuel lavishly, mainly because it was so cheap",in a wasteful manner,
00337069-r,lavishly,"the United States, up to the 1920s, used fuel lavishly, mainly because it was so cheap",in a wasteful manner,
00337430-r,faddishly,,in a faddish manner,
00337430-r,faddily,,in a faddish manner,
00340428-r,feebly,"reform, in fact, is, rather feebly, on the win",in a halting and feeble manner,
