synset,adverb,sentence,type
00075230-r,back,we paid back everything we had borrowed,adverb.spatial
00075230-r,back,he hit me and I hit him back,adverb.manner
00075230-r,back,I was kept in after school for talking back to the teacher,adverb.manner
00075427-r,back,she went back to her parents' house,adverb.spatial
00075535-r,back,he went back to sleep,adverb.temporal
00075633-r,back,he wrote back three days later,adverb.spatial
00075708-r,ahead,I like to look ahead in imagination to what the future may bring,adverb.temporal
00075708-r,forward,I look forward to seeing you,adverb.temporal
00075922-r,aback,taken aback by the caustic remarks,adverb.spatial
00076005-r,aback,the ship came up into the wind with all yards aback,adverb.manner
00076232-r,backward,it's easy to get the ‘i’ and the ‘e’ backward in words like ‘seize’ and ‘siege’,adverb.spatial
00076232-r,backward,the child put her jersey on backward,adverb.spatial
00076947-r,aurally,the new musical was visually and aurally appealing,adverb.manner
00077086-r,axially,the jet was directed axially toward the cathode,adverb.manner
00077214-r,brazenly,he spoke brazenly,adverb.manner
00077308-r,brilliantly,he solved the problem brilliantly,adverb.manner
00077434-r,brilliantly,the stars shone brilliantly,adverb.manner
00077434-r,bright,the windows glowed jewel bright,adverb.manner
00077611-r,catalytically,catalytically stabilized combustion of propane,adverb.manner
00077763-r,commercially,the product is commercially available,adverb.domain
00077885-r,dearly,he paid dearly for the food,adverb.degree
00077885-r,dear,this cost him dear,adverb.degree
00078013-r,dearly,she loved him dearly,adverb.degree
00078013-r,affectionately,he treats her affectionately,adverb.manner
00078178-r,dearly,I would dearly love to know,adverb.degree
00078453-r,cosmetically,it is used cosmetically by many women,adverb.manner
00078596-r,decoratively,used decoratively at Christmas,adverb.manner
00078711-r,covertly,he did it covertly,adverb.manner
00078824-r,overtly,he did it overtly,adverb.manner
00078935-r,microscopically,the blood was examined microscopically,adverb.manner
00078935-r,microscopically,the seeds were microscopically small,adverb.degree
00079171-r,microscopically,every manuscript was edited microscopically,adverb.manner
00079373-r,undoubtedly,it's undoubtedly very beautiful,adverb.speaker_oriented
00079498-r,statistically,this is statistically impossible,adverb.domain
00079620-r,thermodynamically,this phenomenon is thermodynamically impossible,adverb.domain
00079765-r,tonight,drop by tonight,adverb.temporal
00079883-r,actively,he participated actively in the war,adverb.manner
00080014-r,passively,he listened passively,adverb.manner
00080132-r,below,see below,adverb.spatial
00080132-r,infra,vide infra,adverb.spatial
00080266-r,above,see above,adverb.spatial
00080884-r,contemptuously,she spoke of him contemptuously,adverb.manner
00081118-r,contractually,they were contractually responsible,adverb.domain
00081240-r,insanely,she behaved insanely,adverb.manner
00081240-r,crazily,he behaves crazily when he is off his medication,adverb.manner
00081240-r,madly,the witch cackled madly,adverb.manner
00081240-r,dementedly,screaming dementedly,adverb.manner
00081544-r,sanely,she is behaving rather sanely these days even though we know she is schizophrenic,adverb.manner
00081725-r,comically,the tone was comically desperate,adverb.degree
00081836-r,daily,he stops by daily,adverb.frequency
00081941-r,weekly,she visited her aunt weekly,adverb.frequency
00082087-r,annually,they travel to China annually,adverb.frequency
00082231-r,curiously,the baby looked around curiously,adverb.manner
00082498-r,deceptively,the exam looked deceptively easy,adverb.manner
00082658-r,yonder,the house yonder,adverb.spatial
00083273-r,dizzily,he walked around dizzily,adverb.manner
00083518-r,dorsoventrally,the ray has a dorsoventrally flattened body,adverb.manner
00083743-r,doubly,she was doubly rewarded,adverb.degree
00083743-r,double,his eyes were double bright,adverb.degree
00083891-r,singly,they were arranged singly,adverb.manner
00084016-r,multiply,they were multiply checked for errors,adverb.frequency
00084167-r,multiplicatively,the errors increased multiplicatively,adverb.manner
00084297-r,doubly,he was doubly wrong,adverb.degree
00084388-r,empirically,this can be empirically tested,adverb.manner
00084573-r,particularly,he was particularly fussy about spelling,adverb.focus
00084573-r,particularly,a particularly gruesome attack,adverb.degree
00084573-r,peculiarly,under peculiarly tragic circumstances,adverb.degree
00084573-r,especially,an especially (or specially) cautious approach to the danger,adverb.degree
00085109-r,extra,an extra fast car,adverb.degree
00085190-r,elaborately,it was elaborately spelled out,adverb.manner
00085352-r,elsewhere,he went elsewhere,adverb.spatial
00085352-r,elsewhere,look elsewhere for the answer,adverb.spatial
00085466-r,eschatologically,even atheists can be eschatologically minded,adverb.domain
00085689-r,experimentally,this can be experimentally determined,adverb.manner
00085862-r,expressly,she needs the money expressly for her patients,adverb.focus
00086017-r,facetiously,I meant it facetiously,adverb.manner
00086161-r,quickly,he works quickly,adverb.manner
00086488-r,fast,how fast can he get here?,adverb.manner
00086488-r,fast,ran as fast as he could,adverb.manner
00086488-r,fast,needs medical help fast,adverb.temporal
00086892-r,fast,held fast to the rope,adverb.manner
00086892-r,fast,her foot was stuck fast,adverb.degree
00086892-r,tight,held tight,adverb.manner
00087525-r,impermissibly,the radon level in the basement was impermissibly high,adverb.degree
00087676-r,flatly,he flatly denied the charges,adverb.manner
00087855-r,flush,hit him flush in the face,adverb.manner
00087937-r,flush,set it flush with the top of the table,adverb.spatial
00088030-r,forever,no one can live forever,adverb.temporal
00088404-r,permanently,he is permanently disabled,adverb.temporal
00088791-r,temporarily,he will work here temporarily,adverb.temporal
00088791-r,temporarily,he was brought out of retirement temporarily,adverb.temporal
00088791-r,temporarily,a power failure temporarily darkened the town,adverb.temporal
00089265-r,provisionally,they have agreed provisionally,adverb.temporal
00089265-r,provisionally,was appointed provisionally,adverb.temporal
00089419-r,continually,complained continually that there wasn't enough money,adverb.frequency
00089564-r,forever,she took forever to write the paper,adverb.temporal
00089564-r,forever,we had to wait forever and a day,adverb.temporal
00089755-r,highly,details known by only a few highly placed persons,adverb.degree
00089896-r,highly,highly successful,adverb.degree
00089896-r,highly,He spoke highly of her,adverb.manner
00089896-r,highly,does not think highly of his writing,adverb.degree
00089896-r,extremely,extremely interesting,adverb.degree
00090131-r,highly,highly paid workers,adverb.degree
00090211-r,histologically,histologically identifiable structures,adverb.domain
00090371-r,magnetically,he was magnetically attracted to her,adverb.manner
00090488-r,marginally,marginally interesting,adverb.degree
00090591-r,geometrically,it grew geometrically,adverb.manner
00090716-r,dangerously,he came dangerously close to falling off the ledge,adverb.degree
00090912-r,tiredly,he walked around tiredly,adverb.manner
00091039-r,vitally,this is vitally important,adverb.degree
00091221-r,strenuously,he objected strenuously to the stand his party was taking,adverb.manner
00091385-r,intently,listened intently,adverb.manner
00091385-r,intently,stood watching intently,adverb.manner
00091520-r,dingdong,They fell to work dingdong,adverb.manner
00091627-r,mightily,he strove mightily to achieve a better position in life,adverb.manner
00091820-r,hard,the team played hard,adverb.manner
00091820-r,hard,worked hard all day,adverb.manner
00091820-r,hard,pressed hard on the lever,adverb.manner
00091820-r,hard,hit the ball hard,adverb.manner
00091820-r,hard,slammed the door hard,adverb.manner
00092022-r,hard,hard alee,adverb.degree
00092022-r,hard,the ship went hard astern,adverb.degree
00092022-r,hard,swung the wheel hard left,adverb.degree
00092166-r,hard,prejudices die hard,adverb.manner
00092166-r,hardly,he was so dizzy he could hardly stand up straight,adverb.degree
00092328-r,hard,industries hit hard by the depression,adverb.degree
00092328-r,severely,she was severely affected by the bank's failure,adverb.degree
00092514-r,hard,held hard to the railing,adverb.manner
00092597-r,hard,thought hard about it,adverb.manner
00092597-r,hard,stared hard at the accused,adverb.manner
00092706-r,hard,he took the rejection very hard,adverb.manner
00092809-r,hard,it stands hard by the railroad tracks,adverb.degree
00092809-r,hard,they were hard on his heels,adverb.degree
00092809-r,hard,a strike followed hard upon the plant's opening,adverb.temporal
00093000-r,hard,concrete that sets hard within a few hours,adverb.manner
00093119-r,tightly,the window was tightly sealed,adverb.degree
00093364-r,momentarily,we paused momentarily before proceeding,adverb.temporal
00093364-r,momently,a cardinal perched momently on the dogwood branch,adverb.temporal
00093535-r,conclusively,we settled the problem conclusively,adverb.manner
00093689-r,inconclusively,the meeting ended inconclusively,adverb.manner
00093820-r,sadly,he was sadly neglected,adverb.degree
00093820-r,woefully,it was woefully inadequate,adverb.degree
00094039-r,denominationally,denominationally diverse audiences,adverb.domain
00094168-r,cortically,cortically induced arousal,adverb.spatial
00094281-r,focally,the submucosa was focally infiltrated,adverb.manner
00094393-r,hypothalamically,hypothalamically controlled secretions,adverb.manner
00094603-r,intramuscularly,administer the drug intramuscularly,adverb.manner
00094727-r,amusingly,Hollywood has grown too sophisticated to turn out anything really amusingly bad these days,adverb.manner
00094946-r,downstairs,the tenants live downstairs,adverb.spatial
00095095-r,upstairs,they lived upstairs,adverb.spatial
00095225-r,upstairs,she's a bit weak upstairs,adverb.spatial
00095315-r,downwind,they flew downwind,adverb.spatial
00095443-r,upwind,they flew upwind,adverb.spatial
00095613-r,windward,they were sailing windward,adverb.spatial
00095742-r,leeward,they were sailing leeward,adverb.spatial
00095870-r,down,don't fall down,adverb.spatial
00095870-r,down,rode the lift up and skied down,adverb.spatial
00095870-r,downward,prices plunged downward,adverb.spatial
00096162-r,down,was sent down to work at the regional office,adverb.spatial
00096162-r,down,worked down on the farm,adverb.spatial
00096162-r,down,came down for the wedding,adverb.spatial
00096162-r,down,flew down to Florida,adverb.spatial
00096391-r,down,put ten dollars down on the necklace,adverb.spatial
00096496-r,down,the factory went down during the strike,adverb.spatial
00096496-r,down,the computer went down again,adverb.spatial
00096639-r,down,he slowly phased down the light until the stage was completely black,adverb.degree
00096782-r,down,the story was passed down from father to son,adverb.spatial
00096883-r,up,the music surged up,adverb.spatial
00096883-r,upwards,the fragments flew upwards,adverb.spatial
00096883-r,upwards,prices soared upwards,adverb.spatial
00096883-r,upwardly,upwardly mobile,adverb.spatial
00097186-r,up,they moved the meeting date up,adverb.temporal
00097186-r,upward,from childhood upward,adverb.temporal
00097310-r,up,was transferred up to headquarters,adverb.spatial
00097310-r,up,up to Canada for a vacation,adverb.spatial
00097471-r,up,he walked up and grabbed my lapels,adverb.spatial
00097561-r,up,he turned up the volume,adverb.degree
00097908-r,downfield,he caught the ball and ran downfield 15 yards,adverb.spatial
00098072-r,outright,he is outright dishonest,adverb.degree
00098170-r,outright,she asked him outright for a divorce,adverb.manner
00098281-r,outright,buy outright,adverb.manner
00098390-r,home,He stays home on weekends,adverb.spatial
00098390-r,home,after the game the children brought friends home for supper,adverb.spatial
00098390-r,home,I'll be home tomorrow,adverb.spatial
00098390-r,home,came riding home in style,adverb.spatial
00098390-r,home,I hope you will come home for Christmas,adverb.spatial
00098390-r,home,I'll take her home,adverb.spatial
00098390-r,home,don't forget to write home,adverb.spatial
00098930-r,home,drove the nail home,adverb.degree
00098930-r,home,drove his point home,adverb.spatial
00098930-r,home,his comments hit home,adverb.manner
00099070-r,home,the arrow struck home,adverb.spatial
00099155-r,homeward,fought his way homeward through the deep snow,adverb.spatial
00099264-r,rather,"rather than disappoint the children, he did two quick tricks before he left",adverb.conjunctive
00099264-r,rather,"he didn't call; rather (or instead), he wrote her a letter",adverb.conjunctive
00099264-r,instead,used English terms instead of Latin ones,adverb.conjunctive
00099509-r,insofar,"insofar as it can be ascertained, the horse lung is comparable to that of man",adverb.speaker_oriented
00099778-r,mordaciously,she taunted him mordaciously,adverb.manner
00099891-r,more,more interesting,adverb.degree
00099891-r,more,more beautiful,adverb.degree
00099891-r,more,more quickly,adverb.degree
00100077-r,less,less interesting,adverb.degree
00100077-r,less,less expensive,adverb.degree
00100077-r,less,less quickly,adverb.degree
00100262-r,more,he works more now,adverb.degree
00100262-r,more,they eat more than they should,adverb.degree
00100418-r,less,she walks less than she should,adverb.degree
00100418-r,less,he works less these days,adverb.degree
00100552-r,little,he talked little about his family,adverb.degree
00100632-r,early,she graduated early,adverb.temporal
00100817-r,late,the train arrived late,adverb.temporal
00100817-r,late,we awoke late,adverb.temporal
00100817-r,late,the children came late to school,adverb.temporal
00100817-r,tardily,notice came so tardily that we almost missed the deadline,adverb.temporal
00100817-r,belatedly,I belatedly wished her a happy birthday,adverb.temporal
00101142-r,betimes,he awoke betimes that morning,adverb.temporal
00101231-r,early,early on in her career,adverb.temporal
00101433-r,afar,we traveled afar,adverb.spatial
00101433-r,afar,we could see the ship afar off,adverb.spatial
00101433-r,afar,the Magi came from afar,adverb.spatial
00101601-r,far,he traveled far,adverb.degree
00101601-r,far,strayed far from home,adverb.degree
00101601-r,far,sat far away from each other,adverb.degree
00101751-r,far,if we could see far into the future,adverb.degree
00101751-r,far,all that happened far in the past,adverb.degree
00101873-r,far,a far far better thing that I do,adverb.degree
00101873-r,far,felt far worse than yesterday,adverb.degree
00101873-r,far,eyes far too close together,adverb.degree
00102040-r,far,I can only go so far before I have to give up,adverb.degree
00102040-r,far,how far can we get with this kind of argument?,adverb.degree
00102205-r,far,a young man who will go very far,adverb.degree
00102302-r,way,way over budget,adverb.degree
00102302-r,way,way off base,adverb.degree
00103013-r,finely,finely shaped features,adverb.manner
00103013-r,fine,her fine drawn body,adverb.manner
00103187-r,finely,finely costumed actors,adverb.manner
00103286-r,first,first we must consider the garter snake,adverb.temporal
00103536-r,third,third we must consider unemployment,adverb.speaker_oriented
00103637-r,end-to-end,the play was excellent end-to-end,adverb.temporal
00104262-r,first,when Felix first saw a garter snake,adverb.temporal
00104448-r,forth,came forth from the crowd,adverb.spatial
00104448-r,forth,put my ideas forth,adverb.spatial
00104546-r,forth,from that time forth,adverb.temporal
00104546-r,onward,from the sixth century onward,adverb.temporal
00104690-r,abroad,they had never travelled abroad,adverb.spatial
00105677-r,leisurely,he traveled leisurely,adverb.manner
00105849-r,right,she called right after dinner,adverb.degree
00106028-r,promptly,he did his homework promptly,adverb.manner
00106154-r,promptly,he promptly forgot the address,adverb.temporal
00106290-r,promptly,the rescue squad arrived promptly,adverb.temporal
00106857-r,furtively,the soldiers were furtively crawling through the night,adverb.manner
00107003-r,unanimously,the Senate unanimously approved the bill,adverb.manner
00107003-r,unanimously,we voted unanimously,adverb.manner
00107190-r,responsibly,we must act responsibly,adverb.manner
00107316-r,irresponsibly,he acted irresponsibly,adverb.manner
00107446-r,fairly,deal fairly with one another,adverb.manner
00107608-r,usually,usually she was late,adverb.frequency
00107917-r,unusually,she was unusually tall,adverb.degree
00108184-r,recently,he was in Paris recently,adverb.temporal
00108184-r,lately,lately the rules have been enforced,adverb.temporal
00108184-r,late,as late as yesterday she was fine,adverb.temporal
00108184-r,late,feeling better of late,adverb.temporal
00108184-r,latterly,"the spelling was first affected, but latterly the meaning also",adverb.temporal
00108490-r,erratically,economic changes are proceeding erratically,adverb.manner
00108663-r,girlishly,she was girlishly shy,adverb.manner
00108755-r,gradually,the snake moved gradually toward its victim,adverb.manner
00108905-r,grimly,he was grimly satisfied,adverb.manner
00109012-r,hell-for-leather,they were travelling hell-for-leather,adverb.manner
00109134-r,hereabouts,the people are friendly hereabouts,adverb.spatial
00109247-r,here,I work here,adverb.spatial
00109247-r,here,turn here,adverb.spatial
00109247-r,here,radio waves received here on Earth,adverb.spatial
00109541-r,here,here I must disagree,adverb.spatial
00109681-r,herein,I shall discuss the question herein,adverb.spatial
00109789-r,here,we'll adjourn here for lunch and discuss the remaining issues this afternoon,adverb.spatial
00109919-r,there,they have lived there for years,adverb.spatial
00109919-r,there,it's not there,adverb.spatial
00109919-r,there,that man there,adverb.spatial
00110073-r,there,go there around noon!,adverb.spatial
00110206-r,there,I agree with you there,adverb.domain
00110312-r,historically,this is historically interesting,adverb.domain
00110430-r,historically,historically they have never coexisted peacefully,adverb.domain
00110560-r,peacefully,the hen settled herself on the nest most peacefully,adverb.manner
00110692-r,scientifically,this is scientifically interesting,adverb.domain
00110835-r,unscientifically,they proceeded unscientifically when they dissected the mummy,adverb.manner
00111029-r,humbly,he humbly lowered his head,adverb.manner
00111157-r,meekly,meekly bowed to his wishes,adverb.manner
00111276-r,inside,in winter we play inside,adverb.spatial
00111402-r,outside,in summer we play outside,adverb.spatial
00111759-r,militarily,on a militarily significant scale,adverb.domain
00111881-r,macroscopically,The tubes were examined macroscopically,adverb.manner
00112012-r,literally,our eyes were literally pinned to TV during the Gulf War,adverb.domain
00112194-r,virtually,the strike virtually paralyzed the city,adverb.degree
00112194-r,virtually,I'm virtually broke,adverb.degree
00112352-r,most,the king cobra is the most dangerous snake,adverb.degree
00112501-r,least,The garter snake is the least dangerous snake,adverb.degree
00112833-r,mutely,he sat mutely next to her,adverb.manner
00113022-r,internationally,She is internationally known,adverb.spatial
00113022-r,globally,this is globally significant,adverb.domain
00113314-r,necessarily,it is necessarily so,adverb.speaker_oriented
00113314-r,needs,we must needs be objective,adverb.speaker_oriented
00113522-r,newly,they are newly married,adverb.temporal
00113522-r,newly,newly raised objections,adverb.temporal
00113522-r,newly,a newly arranged hairdo,adverb.temporal
00113522-r,new,grass new washed by the rain,adverb.temporal
00113522-r,freshly,a freshly cleaned floor,adverb.temporal
00113522-r,fresh,we are fresh out of tomatoes,adverb.temporal
00113764-r,afresh,start afresh,adverb.manner
00113764-r,anew,wanted to write the story anew,adverb.manner
00113764-r,anew,starting life anew in a fresh place,adverb.manner
00114003-r,differently,very soon you will know differently,adverb.manner
00114003-r,otherwise,she thought otherwise,adverb.manner
00114218-r,organically,organically bound iodine,adverb.manner
00114348-r,inorganically,inorganically bound molecules,adverb.manner
00114489-r,organically,the drapery served organically to cover the Madonna,adverb.manner
00114629-r,organically,this food is grown organically,adverb.manner
00114811-r,mechanically,he smiled mechanically,adverb.manner
00114936-r,mechanically,this door opens mechanically,adverb.manner
00115099-r,metabolically,metabolically important substances,adverb.domain
00115217-r,officially,officially responsible,adverb.domain
00115516-r,painfully,his ignorance was painfully obvious,adverb.degree
00115657-r,centrally,The theater is centrally located,adverb.spatial
00116024-r,phylogenetically,a phylogenetically primitive part of the brain,adverb.domain
00116161-r,physically,it is physically impossible,adverb.domain
00116277-r,physiologically,physiologically ready,adverb.domain
00116277-r,physiologically,physiologically addicted,adverb.domain
00116461-r,preferably,"clean it well, preferably with warm water",adverb.speaker_oriented
00116461-r,rather,I'd rather be in Philadelphia,adverb.speaker_oriented
00116461-r,sooner,I'd sooner die than give up,adverb.temporal
00116652-r,politically,politically organized units,adverb.domain
00116766-r,politically,politically correct clothing,adverb.domain
00117187-r,symbolically,symbolically accepted goals,adverb.manner
00117297-r,toe-to-toe,they fought toe-to-toe for the nomination,adverb.manner
00117417-r,together,we graduated together,adverb.manner
00117495-r,together,we worked together on the project,adverb.manner
00117698-r,together,the leaves stuck together,adverb.manner
00117901-r,together,we were gathered together,adverb.spatial
00117989-r,collectively,our salaries collectively couldn't pay for the damage,adverb.manner
00118279-r,atrociously,atrociously expensive,adverb.degree
00118415-r,outrageously,he behaved outrageously,adverb.manner
00118527-r,then,then he left,adverb.temporal
00118527-r,then,"go left first, then right",adverb.temporal
00118527-r,then,"first came lightning, then thunder",adverb.temporal
00118527-r,then,we watched the late movie and then went to bed,adverb.temporal
00118527-r,so,and so home and to bed,adverb.temporal
00118799-r,then,I was young then,adverb.temporal
00118799-r,then,prices were lower back then,adverb.temporal
00118799-r,then,science as it was then taught,adverb.temporal
00118928-r,then,"if he didn't take it, then who did?",adverb.conjunctive
00118928-r,then,keep it then if you want to,adverb.conjunctive
00118928-r,then,then you'll be rich,adverb.temporal
00119149-r,volumetrically,analyzed volumetrically,adverb.manner
00119259-r,so,he observed the snakes so he could describe their behavior,adverb.conjunctive
00119259-r,so,he stooped down so he could pick up his hat,adverb.conjunctive
00119427-r,regardless,he carried on regardless of the difficulties,adverb.conjunctive
00119765-r,once,once I ran into her,adverb.frequency
00119861-r,erstwhile,her erstwhile writing,adverb.temporal
00119861-r,once,she was a dancer once,adverb.temporal
00120034-r,though,"it might be unpleasant, though",adverb.conjunctive
00120824-r,successfully,she performed the surgery successfully,adverb.manner
00120979-r,simultaneously,they spoke simultaneously,adverb.temporal
00121107-r,concurrently,concurrently with the conference an exhibition of things associated with Rutherford was held,adverb.temporal
00121358-r,systematically,they systematically excluded women,adverb.manner
00121562-r,unsystematically,his books were lined up unsystematically on the shelf,adverb.manner
00121725-r,inconsistently,he acted inconsistently when he bought these stocks,adverb.manner
00121886-r,thereby,"He knocked over the red wine, thereby ruining the table cloth",adverb.conjunctive
00122019-r,so,hold the brush so,adverb.manner
00122019-r,thus,set up the pieces thus,adverb.manner
00122297-r,appositively,this adjective is used appositively,adverb.manner
00122434-r,astronomically,the bill was astronomically high,adverb.degree
00122541-r,axiomatically,this is axiomatically given,adverb.domain
00122654-r,photoelectrically,they measured it photoelectrically,adverb.manner
00122778-r,photographically,photographically recorded scenes,adverb.manner
00122898-r,photometrically,photometrically measured,adverb.manner
00123008-r,constitutionally,this was constitutionally ruled out,adverb.domain
00123157-r,unconstitutionally,the president acted unconstitutionally,adverb.manner
00123311-r,democratically,it was decided democratically,adverb.manner
00123311-r,democratically,democratically elected government,adverb.manner
00123700-r,aloof,the local gentry and professional classes had held aloof for the school had accepted their sons readily enough,adverb.spatial
00123884-r,digitally,the time was digitally displayed,adverb.manner
00123996-r,digitally,the exam was carried out digitally,adverb.manner
00124113-r,economically,economically this proposal makes no sense,adverb.domain
00124249-r,economically,economically the country is worse off,adverb.domain
00124466-r,electronically,the door opens electronically,adverb.manner
00124579-r,ethnically,the neighborhood is ethnically diverse,adverb.domain
00124703-r,federally,it's federally regulated,adverb.domain
00124808-r,genetically,genetically passed down talents,adverb.manner
00124922-r,graphically,he described the event graphically,adverb.manner
00125034-r,ideographically,it's written ideographically,adverb.manner
00125230-r,industrially,industrially produced,adverb.manner
00125495-r,legally,he acted legally,adverb.manner
00125586-r,manually,this car shifts manually,adverb.manner
00125676-r,medically,medically trained nurses,adverb.domain
00125676-r,medically,medically correct treatment,adverb.domain
00125896-r,nominally,nominally he is the boss,adverb.domain
00125992-r,predicatively,predicatively used adjectives,adverb.manner
00126122-r,professorially,she behaved very professorially,adverb.manner
00126242-r,provincially,provincially controlled,adverb.domain
00126365-r,realistically,the figure was realistically painted,adverb.manner
00126486-r,red-handed,he was caught red-handed,adverb.manner
00126647-r,reversibly,reversibly convertible,adverb.manner
00126869-r,royally,they were royally treated,adverb.manner
00127082-r,scenically,scenically stunning,adverb.domain
00127191-r,scholastically,scholastically apt,adverb.domain
00127311-r,serially,serially composed music,adverb.manner
00127411-r,socially,socially accepted norms,adverb.domain
00127522-r,socially,socially unpopular,adverb.domain
00127617-r,symbolically,symbolically expressed,adverb.manner
00127721-r,technically,a technically brilliant solution,adverb.domain
00127856-r,technically,technically lagging behind the Japanese,adverb.domain
00127856-r,technically,a technically brilliant boxer,adverb.domain
00128223-r,temporally,temporally processed,adverb.domain
00128333-r,terminally,terminally ill,adverb.degree
00128418-r,terrestrially,terrestrially adapted,adverb.domain
00128524-r,territorially,territorially important,adverb.domain
00128636-r,thematically,thematically related,adverb.domain
00129052-r,typically,Tom was typically hostile,adverb.subject_oriented
00129174-r,atypically,she was atypically quiet,adverb.degree
00129340-r,verbally,verbally expressive,adverb.manner
00129438-r,verbally,he had a habit of using nouns verbally,adverb.manner
00129544-r,vocally,she defended herself vocally,adverb.manner
00129647-r,nonverbally,they communicated nonverbally,adverb.manner
00129766-r,electrically,electrically controlled,adverb.manner
00129866-r,chemically,chemically different substances,adverb.domain
00129866-r,chemically,chemically related,adverb.domain
00130005-r,chemically,chemically fertilized,adverb.manner
00130101-r,legislatively,legislatively determined,adverb.manner
00130203-r,bilingually,she grew up bilingually,adverb.manner
00130309-r,linearly,linearly polarized radiation,adverb.manner
00130309-r,linearly,it grew linearly,adverb.manner
00130452-r,longitudinally,longitudinally measured,adverb.manner
00130565-r,magically,it disappeared magically,adverb.manner
00130685-r,bacterially,spreads bacterially,adverb.manner
00130777-r,relativistically,this is relativistically impossible,adverb.domain
00130906-r,racially,racially integrated,adverb.domain
00131004-r,municipally,municipally funded,adverb.manner
00131099-r,governmentally,governmentally determined policy,adverb.domain
00131209-r,professionally,professionally trained staff,adverb.manner
00131326-r,spatially,spatially limited,adverb.domain
00131423-r,semantically,semantically empty messages,adverb.domain
00131610-r,linguistically,linguistically impaired children,adverb.domain
00131610-r,lingually,a lingually diverse population,adverb.domain
00131795-r,sociolinguistically,sociolinguistically fascinating,adverb.domain
00131928-r,linguistically,linguistically interesting data,adverb.domain
00132066-r,cross-linguistically,she studied the phenomenon cross-linguistically,adverb.manner
00132206-r,fiscally,fiscally irresponsible,adverb.domain
00132327-r,algebraically,algebraically determined,adverb.manner
00132437-r,polyphonically,polyphonically composed,adverb.manner
00132547-r,poetically,poetically expressed,adverb.manner
00132646-r,phonetically,phonetically realized,adverb.domain
00132742-r,phonemically,phonemically transcribed,adverb.domain
00132870-r,personally,he is personally repulsive,adverb.speaker_oriented
00132968-r,personally,I went there personally,adverb.manner
00133226-r,philosophically,she took it philosophically,adverb.manner
00133342-r,infernally,infernally clever,adverb.degree
00133342-r,hellishly,hellishly dangerous,adverb.degree
00133483-r,pathologically,pathologically interesting results,adverb.degree
00133607-r,graphically,graphically interesting designs,adverb.domain
00133731-r,catastrophically,catastrophically complex,adverb.degree
00133851-r,optically,optically distorted,adverb.domain
00133950-r,visually,visually distorted,adverb.domain
00134031-r,viscerally,he is bleeding viscerally,adverb.spatial
00134131-r,cerebrally,bleeding cerebrally,adverb.spatial
00134223-r,cerebrally,cerebrally active,adverb.domain
00134326-r,mystically,chant mystically,adverb.manner
00134423-r,biologically,biologically related,adverb.domain
00134529-r,sociobiologically,explain the behavior sociobiologically,adverb.domain
00134797-r,biochemically,biochemically interesting phenomenon,adverb.domain
00135013-r,morally,morally unjustified,adverb.domain
00135104-r,meteorologically,meteorologically bad conditions,adverb.domain
00135229-r,metaphysically,he thinks metaphysically,adverb.domain
00135423-r,melodically,melodically interesting themes,adverb.domain
00135537-r,harmonically,harmonically interesting piece,adverb.domain
00135653-r,acoustically,acoustically ill-equipped studios,adverb.domain
00135774-r,adulterously,he behaved adulterously,adverb.manner
00135883-r,metaphorically,she expressed herself metaphorically,adverb.manner
00136008-r,allegorically,the play ended allegorically,adverb.manner
00136124-r,locally,it was locally decided,adverb.spatial
00136228-r,topically,apply this medicine topically,adverb.manner
00136377-r,regionally,regionally governed,adverb.domain
00136477-r,nationally,a nationally uniform culture,adverb.spatial
00136606-r,culturally,culturally integrated,adverb.domain
00136712-r,interracially,interracially restrictive,adverb.domain
00136808-r,chorally,chorally accompanied,adverb.manner
00136898-r,subcutaneously,inject subcutaneously,adverb.manner
00137077-r,syntactically,syntactically ill-formed,adverb.domain
00137187-r,spinally,spinally administered,adverb.spatial
00137279-r,sexually,reproduce sexually,adverb.manner
00137371-r,sexually,sexually ambiguous,adverb.domain
00137473-r,lexically,lexically represented,adverb.domain
00137571-r,nonlexically,expressed nonlexically,adverb.manner
00137680-r,materially,psychologically similar but materially different,adverb.domain
00137821-r,materially,it aided him materially in winning the argument,adverb.degree
00137952-r,surgically,surgically removed,adverb.manner
00138162-r,postoperatively,remove postoperatively,adverb.temporal
00138372-r,alternately,They were deglycerolized by alternately centrifuging and mixing,adverb.manner
00138372-r,alternately,he planted fir and pine trees alternately,adverb.manner
00138580-r,transversely,they were cut transversely,adverb.manner
00138725-r,respectively,"the brothers were called Felix and Max, respectively",adverb.conjunctive
00138870-r,similarly,He was similarly affected,adverb.manner
00139101-r,secondarily,secondarily affected,adverb.manner
00139220-r,primarily,this is primarily a question of economics,adverb.focus
00139421-r,probably,He is probably out of the country,adverb.speaker_oriented
00139662-r,bannerlike,She waved her scarf at him bannerlike,adverb.manner
00139755-r,dramatically,he confessed dramatically,adverb.manner
00139983-r,ashore,we invited them ashore,adverb.spatial
00140076-r,notably,"notably in the social sciences, the professors teach too much",adverb.focus
00140202-r,intensively,he studied the snake intensively,adverb.manner
00140318-r,appropriately,he was appropriately dressed,adverb.manner
00140318-r,duly,I met the junior senator from Illinois and I was duly impressed,adverb.degree
00140793-r,inappropriately,he was inappropriately dressed,adverb.manner
00140964-r,inalienably,this property is held inalienably,adverb.manner
00141083-r,offshore,cruising three miles offshore,adverb.spatial
